label,room_id,run,ms
AFTER,10,1,0.159
AFTER,10,2,0.556
AFTER,10,3,0.253
AFTER,10,4,1.42
AFTER,10,5,0.362
AFTER,25,1,0.888
AFTER,25,2,0.175
AFTER,25,3,0.643
AFTER,25,4,0.278
AFTER,25,5,0.154
AFTER,33,1,0.156
AFTER,33,2,0.204
AFTER,33,3,0.296
AFTER,33,4,0.185
AFTER,33,5,0.204
AFTER,47,1,0.333
AFTER,47,2,0.167
AFTER,47,3,0.249
AFTER,47,4,0.176
AFTER,47,5,0.131
AFTER,55,1,0.159
AFTER,55,2,0.227
AFTER,55,3,0.158
AFTER,55,4,0.296
AFTER,55,5,0.231
AFTER,66,1,0.167
AFTER,66,2,0.234
AFTER,66,3,0.166
AFTER,66,4,0.177
AFTER,66,5,0.211
AFTER,74,1,0.457
AFTER,74,2,0.185
AFTER,74,3,0.501
AFTER,74,4,0.135
AFTER,74,5,0.137
AFTER,91,1,0.151
AFTER,91,2,0.304
AFTER,91,3,0.138
AFTER,91,4,0.139
AFTER,91,5,0.157
