label,room_id,run,ms
BEFORE,10,1,31.4
BEFORE,10,2,27.6
BEFORE,10,3,28.4
BEFORE,10,4,28.2
BEFORE,10,5,28.1
BEFORE,25,1,31.3
BEFORE,25,2,30.6
BEFORE,25,3,29
BEFORE,25,4,31.1
BEFORE,25,5,33
BEFORE,33,1,33.4
BEFORE,33,2,52.6
BEFORE,33,3,57.8
BEFORE,33,4,30.6
BEFORE,33,5,30
BEFORE,47,1,29.8
BEFORE,47,2,29.5
BEFORE,47,3,32.9
BEFORE,47,4,32.2
BEFORE,47,5,29.8
BEFORE,55,1,30.5
BEFORE,55,2,30.9
BEFORE,55,3,30.3
BEFORE,55,4,31.2
BEFORE,55,5,29.4
BEFORE,66,1,59.7
BEFORE,66,2,30.7
BEFORE,66,3,34.6
BEFORE,66,4,34.2
BEFORE,66,5,29.6
BEFORE,74,1,29.5
BEFORE,74,2,30.5
BEFORE,74,3,30.3
BEFORE,74,4,30.9
BEFORE,74,5,31
BEFORE,91,1,30
BEFORE,91,2,31.3
BEFORE,91,3,31
BEFORE,91,4,32.3
BEFORE,91,5,59.4
